,comments,target
196,จริงๆ อาจารย์ผู้ถ่ายทอด สอนดีมากๆๆๆๆๆๆๆๆๆๆ แต่ติดนิดนึง ตรงยกตัวอย่าง ไม่มีข้อมูล EXAMPLE มาโชว์ มันเลยยังเห็นภาพไม่สุด,pos
197,เป็นความรู้ที่ดีมากสามารถนำไปต่อยอดในการทำธุรกิจหรือทำประโยชน์ต่างๆได้,pos
198,เป็นพื้นฐานความรู้ที่ดีมาก สามารถนำไปค่อยๆปรับใช้กับการทำงานได้เลย,pos
199,เป็นคอร์สที่ดีมีประโยชน์เหมาะอย่างยิ่งสำหรับในยุคปัจจุบัน,pos
200,น่าจะทำใหเห็นภาพรวม และ พอนึกถึงการนำไปใช้ได้ดี,pos
201,ได้มุมมองใหม่ๆไปปรับใช้ได้เยอะและดีครับ,pos
202,มีเนื้อหาที่สามารถนำไปใช้ได้จริง !!!,pos
203,เป็นคอร์ดที่น่าสนใจและต้องเรียนรู้,pos
204,เข้าใจ ชัดเจน เห็นภาพ จำไปใช้ได้,pos
205,เข้าใจง่าย ตัวอย่างตรงประเด็น,pos
206,ดีตรงดูได้เรื่อยๆ แต่ Quiz น้อยไปนิด,pos
207,ได้รู้หลักการทำ dashboard หลายๆแบบ,pos
208,ดีค่ะ บอกจุดพลาดมีเคส,pos
209,คอร์ส Ok ค่ะ,pos
210,คิดว่าสอนขั้นตอนตามกระบวนการของ design thinking ได้ค่อนข้างะเอียดเลยค่ะ สามารถเรียนได้เพลิน ๆ โดยที่ไม่รู้สึกว่าข้อมูลมันหนักหรือว่าอัดเกินไป อยากให้เเนบเป็นเชิงของตัว tools หรือ references หรือมีguide สำหรับหลังเรียนจบมากกว่านี้ พอเวลาผ่านไปจะได้ย้อนกลับมาอ่านได้ด้วยค่า  + เเบบฝึกหัดยงไม่เเน่ใจว่าข้อเขียนใช้ criteria วัดจากอะไรว่าถูกหรือผิด บางข้อพอเฉลยเเล้วก็เฉลยว่าให้ไปดูในบทถัดไป ตรงนี้เลยคิดว่าควรปรับตรงนี้นิดนึงค่า,pos
